"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","top","postVar","treated"
"146",73,"Bundesliga","2008/2009",2008-10-24,"FC Koln",0,2,19,22,5,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"147",74,"Bundesliga","2008/2009",2008-10-25,"Bayern Munich",4,2,18,24,3,0,"W",0,"HomeTeam","2008-10",1,1,0,1
"148",74,"Bundesliga","2008/2009",2008-10-25,"Wolfsburg",2,4,24,18,2,0,"L",0,"AwayTeam","2008-10",0,1,0,1
"149",75,"Bundesliga","2008/2009",2008-10-25,"Cottbus",2,3,19,20,1,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"150",75,"Bundesliga","2008/2009",2008-10-25,"Ein Frankfurt",3,2,20,19,3,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"151",76,"Bundesliga","2008/2009",2008-10-25,"Hannover",1,1,18,13,3,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"152",76,"Bundesliga","2008/2009",2008-10-25,"Werder Bremen",1,1,13,18,3,0,"D",0,"AwayTeam","2008-10",0,0,0,1
"153",77,"Bundesliga","2008/2009",2008-10-25,"M'gladbach",1,0,24,11,2,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"154",77,"Bundesliga","2008/2009",2008-10-25,"Karlsruhe",0,1,11,24,0,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"155",78,"Bundesliga","2008/2009",2008-10-25,"Schalke 04",0,0,16,23,1,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"156",78,"Bundesliga","2008/2009",2008-10-25,"Bielefeld",0,0,23,16,2,1,"D",0,"AwayTeam","2008-10",0,0,0,1
"157",79,"Bundesliga","2008/2009",2008-10-26,"Dortmund",1,1,15,16,2,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"158",79,"Bundesliga","2008/2009",2008-10-26,"Hertha",1,1,16,15,3,0,"D",0,"AwayTeam","2008-10",0,0,0,1
"159",80,"Bundesliga","2008/2009",2008-10-26,"Hoffenheim",3,0,30,24,1,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"160",80,"Bundesliga","2008/2009",2008-10-26,"Hamburg",0,3,24,30,4,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"161",81,"Bundesliga","2008/2009",2008-10-26,"Stuttgart",2,0,18,26,3,0,"W",0,"HomeTeam","2008-10",1,1,0,1
"162",81,"Bundesliga","2008/2009",2008-10-26,"Bochum",0,2,26,18,3,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"163",82,"Bundesliga","2008/2009",2008-10-28,"Bielefeld",1,1,16,24,5,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"164",82,"Bundesliga","2008/2009",2008-10-28,"Cottbus",1,1,24,16,2,1,"D",0,"AwayTeam","2008-10",0,0,0,1
"165",83,"Bundesliga","2008/2009",2008-10-28,"Karlsruhe",0,3,10,16,1,1,"L",0,"HomeTeam","2008-10",1,0,0,1
"166",83,"Bundesliga","2008/2009",2008-10-28,"Schalke 04",3,0,16,10,2,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"167",84,"Bundesliga","2008/2009",2008-10-28,"Werder Bremen",0,2,15,15,1,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"168",84,"Bundesliga","2008/2009",2008-10-28,"Leverkusen",2,0,15,15,0,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"169",85,"Bundesliga","2008/2009",2008-10-28,"Wolfsburg",3,0,17,22,1,0,"W",0,"HomeTeam","2008-10",1,1,0,1
"170",85,"Bundesliga","2008/2009",2008-10-28,"M'gladbach",0,3,22,17,5,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"171",86,"Bundesliga","2008/2009",2008-10-29,"Bochum",1,3,31,15,3,1,"L",0,"HomeTeam","2008-10",1,0,0,1
"172",86,"Bundesliga","2008/2009",2008-10-29,"Hoffenheim",3,1,15,31,2,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"173",87,"Bundesliga","2008/2009",2008-10-29,"Ein Frankfurt",1,2,14,15,3,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"174",87,"Bundesliga","2008/2009",2008-10-29,"Bayern Munich",2,1,15,14,6,0,"W",0,"AwayTeam","2008-10",0,1,0,1
"175",88,"Bundesliga","2008/2009",2008-10-29,"FC Koln",0,1,11,11,2,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"176",88,"Bundesliga","2008/2009",2008-10-29,"Dortmund",1,0,11,11,2,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"177",89,"Bundesliga","2008/2009",2008-10-29,"Hamburg",2,0,16,19,1,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"178",89,"Bundesliga","2008/2009",2008-10-29,"Stuttgart",0,2,19,16,3,0,"L",0,"AwayTeam","2008-10",0,1,0,1
"179",90,"Bundesliga","2008/2009",2008-10-29,"Hertha",3,0,14,13,3,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"180",90,"Bundesliga","2008/2009",2008-10-29,"Hannover",0,3,13,14,0,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"181",91,"Bundesliga","2008/2009",2008-10-31,"Leverkusen",2,0,15,13,0,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"182",91,"Bundesliga","2008/2009",2008-10-31,"Wolfsburg",0,2,13,15,1,0,"L",0,"AwayTeam","2008-10",0,1,0,1
"183",92,"Bundesliga","2008/2009",2008-11-01,"Bayern Munich",3,1,14,19,1,0,"W",0,"HomeTeam","2008-11",1,1,0,1
"184",92,"Bundesliga","2008/2009",2008-11-01,"Bielefeld",1,3,19,14,5,1,"L",0,"AwayTeam","2008-11",0,0,0,1
"185",93,"Bundesliga","2008/2009",2008-11-01,"Cottbus",0,2,22,12,2,0,"L",0,"HomeTeam","2008-11",1,0,0,1
"186",93,"Bundesliga","2008/2009",2008-11-01,"Schalke 04",2,0,12,22,3,1,"W",0,"AwayTeam","2008-11",0,0,0,1
"187",94,"Bundesliga","2008/2009",2008-11-01,"Hannover",3,0,21,13,1,0,"W",0,"HomeTeam","2008-11",1,0,0,1
"188",94,"Bundesliga","2008/2009",2008-11-01,"Hamburg",0,3,13,21,1,0,"L",0,"AwayTeam","2008-11",0,0,0,1
"189",95,"Bundesliga","2008/2009",2008-11-01,"Hoffenheim",4,1,22,29,2,0,"W",0,"HomeTeam","2008-11",1,0,0,1
