"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","postVar","treated"
"121",61,"Bundesliga 2","2017/2018",2017-09-20,"Fortuna Dusseldorf",1,0,19,17,3,0,"W",0,"HomeTeam","2017-09",1,0,1
"122",61,"Bundesliga 2","2017/2018",2017-09-20,"Regensburg",0,1,17,19,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"123",62,"Bundesliga 2","2017/2018",2017-09-20,"Heidenheim",2,2,17,17,2,0,"D",0,"HomeTeam","2017-09",1,0,1
"124",62,"Bundesliga 2","2017/2018",2017-09-20,"Darmstadt",2,2,17,17,5,0,"D",0,"AwayTeam","2017-09",0,0,1
"125",63,"Bundesliga 2","2017/2018",2017-09-21,"Nurnberg",3,1,13,11,0,0,"W",0,"HomeTeam","2017-09",1,0,1
"126",63,"Bundesliga 2","2017/2018",2017-09-21,"Bochum",1,3,11,13,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"127",64,"Bundesliga 2","2017/2018",2017-09-22,"Duisburg",1,3,15,21,3,0,"L",0,"HomeTeam","2017-09",1,0,1
"128",64,"Bundesliga 2","2017/2018",2017-09-22,"Holstein Kiel",3,1,21,15,3,0,"W",0,"AwayTeam","2017-09",0,0,1
"129",65,"Bundesliga 2","2017/2018",2017-09-22,"Erzgebirge Aue",1,0,12,19,1,0,"W",0,"HomeTeam","2017-09",1,0,1
"130",65,"Bundesliga 2","2017/2018",2017-09-22,"Sandhausen",0,1,19,12,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"131",66,"Bundesliga 2","2017/2018",2017-09-23,"Bielefeld",1,1,15,14,1,0,"D",0,"HomeTeam","2017-09",1,0,1
"132",66,"Bundesliga 2","2017/2018",2017-09-23,"Heidenheim",1,1,14,15,1,0,"D",0,"AwayTeam","2017-09",0,0,1
"133",67,"Bundesliga 2","2017/2018",2017-09-23,"Regensburg",2,1,18,16,4,0,"W",0,"HomeTeam","2017-09",1,0,1
"134",67,"Bundesliga 2","2017/2018",2017-09-23,"Braunschweig",1,2,16,18,4,3,"L",0,"AwayTeam","2017-09",0,0,1
